ID,DateTime,Tag,Value
1,11/3/2018 19:20:00,18:FE:34:A4:33:5E,39
2,11/3/2018 20:17:05,18:FE:34:A4:33:5E,39
3,11/3/2018 21:12:22,18:FE:34:A4:33:5E,35
4,11/3/2018 22:09:21,18:FE:34:A4:33:5E,34
5,11/3/2018 23:06:15,18:FE:34:A4:33:5E,34
6,11/4/2018 0:03:11,18:FE:34:A4:33:5E,34
7,11/4/2018 1:00:11,18:FE:34:A4:33:5E,33
8,11/4/2018 1:57:03,18:FE:34:A4:33:5E,33
9,11/4/2018 1:53:58,18:FE:34:A4:33:5E,32
10,11/4/2018 2:50:48,18:FE:34:A4:33:5E,31
11,11/4/2018 3:47:36,18:FE:34:A4:33:5E,31
12,11/4/2018 4:44:39,18:FE:34:A4:33:5E,31
13,11/4/2018 5:41:38,18:FE:34:A4:33:5E,31
14,11/4/2018 6:38:28,18:FE:34:A4:33:5E,30
15,11/4/2018 7:35:35,18:FE:34:A4:33:5E,30
16,11/4/2018 8:35:11,18:FE:34:A4:33:5E,38
17,11/4/2018 9:33:45,18:FE:34:A4:33:5E,40
18,11/4/2018 10:31:09,18:FE:34:A4:33:5E,40
19,11/4/2018 11:27:57,18:FE:34:A4:33:5E,41
20,11/4/2018 12:24:54,18:FE:34:A4:33:5E,40
21,11/4/2018 13:21:30,18:FE:34:A4:33:5E,38
22,11/4/2018 14:18:08,18:FE:34:A4:33:5E,38
23,11/4/2018 15:14:59,18:FE:34:A4:33:5E,38
24,11/4/2018 16:11:55,18:FE:34:A4:33:5E,37
25,11/4/2018 17:08:49,18:FE:34:A4:33:5E,37
26,11/4/2018 18:05:33,18:FE:34:A4:33:5E,36
27,11/4/2018 19:02:20,18:FE:34:A4:33:5E,35
28,11/4/2018 19:59:11,18:FE:34:A4:33:5E,35
29,11/4/2018 20:56:04,18:FE:34:A4:33:5E,35
30,11/4/2018 21:52:47,18:FE:34:A4:33:5E,35
31,11/4/2018 22:49:25,18:FE:34:A4:33:5E,34
32,11/4/2018 23:46:23,18:FE:34:A4:33:5E,34
33,11/5/2018 0:43:17,18:FE:34:A4:33:5E,33
34,11/5/2018 1:40:10,18:FE:34:A4:33:5E,33
35,11/5/2018 2:37:11,18:FE:34:A4:33:5E,34
36,11/5/2018 3:34:04,18:FE:34:A4:33:5E,33
37,11/5/2018 4:30:51,18:FE:34:A4:33:5E,33
38,11/5/2018 5:28:02,18:FE:34:A4:33:5E,34
39,11/5/2018 6:25:04,18:FE:34:A4:33:5E,34
40,11/5/2018 7:22:13,18:FE:34:A4:33:5E,34
41,11/5/2018 8:20:10,18:FE:34:A4:33:5E,38
42,11/5/2018 9:18:43,18:FE:34:A4:33:5E,41
43,11/5/2018 10:16:23,18:FE:34:A4:33:5E,42
44,11/5/2018 11:13:36,18:FE:34:A4:33:5E,42
45,11/5/2018 12:10:28,18:FE:34:A4:33:5E,41
46,11/5/2018 13:07:08,18:FE:34:A4:33:5E,40
47,11/5/2018 14:03:49,18:FE:34:A4:33:5E,39
48,11/5/2018 15:00:37,18:FE:34:A4:33:5E,39
49,11/5/2018 15:57:29,18:FE:34:A4:33:5E,39
50,11/5/2018 16:54:17,18:FE:34:A4:33:5E,38
51,11/5/2018 17:51:04,18:FE:34:A4:33:5E,37
52,11/5/2018 18:47:53,18:FE:34:A4:33:5E,37
53,11/5/2018 19:44:39,18:FE:34:A4:33:5E,37
54,11/5/2018 20:41:18,18:FE:34:A4:33:5E,36
55,11/5/2018 21:38:09,18:FE:34:A4:33:5E,35
56,11/5/2018 22:34:55,18:FE:34:A4:33:5E,35
57,11/5/2018 23:31:49,18:FE:34:A4:33:5E,35
58,11/6/2018 0:28:45,18:FE:34:A4:33:5E,35
59,11/6/2018 1:25:38,18:FE:34:A4:33:5E,35
60,11/6/2018 2:22:26,18:FE:34:A4:33:5E,34
61,11/6/2018 3:19:21,18:FE:34:A4:33:5E,34
62,11/6/2018 4:16:04,18:FE:34:A4:33:5E,34
63,11/6/2018 5:13:03,18:FE:34:A4:33:5E,33
64,11/6/2018 6:09:53,18:FE:34:A4:33:5E,33
65,11/6/2018 7:06:53,18:FE:34:A4:33:5E,33
66,11/6/2018 8:05:01,18:FE:34:A4:33:5E,38
67,11/6/2018 9:03:31,18:FE:34:A4:33:5E,43
68,11/6/2018 10:01:19,18:FE:34:A4:33:5E,44
69,11/6/2018 10:57:46,18:FE:34:A4:33:5E,43
70,11/6/2018 11:54:20,18:FE:34:A4:33:5E,42
71,11/6/2018 12:51:01,18:FE:34:A4:33:5E,41
72,11/6/2018 13:47:44,18:FE:34:A4:33:5E,40
73,11/6/2018 14:44:31,18:FE:34:A4:33:5E,39
74,11/6/2018 15:41:16,18:FE:34:A4:33:5E,39
75,11/6/2018 16:38:05,18:FE:34:A4:33:5E,38
76,11/6/2018 17:34:51,18:FE:34:A4:33:5E,38
77,11/6/2018 18:31:47,18:FE:34:A4:33:5E,37
78,11/6/2018 19:28:45,18:FE:34:A4:33:5E,37
79,11/6/2018 20:25:28,18:FE:34:A4:33:5E,36
80,11/6/2018 21:22:11,18:FE:34:A4:33:5E,35
81,11/6/2018 22:19:01,18:FE:34:A4:33:5E,35
82,11/6/2018 23:15:49,18:FE:34:A4:33:5E,34
83,11/7/2018 0:12:22,18:FE:34:A4:33:5E,34
84,11/7/2018 1:09:18,18:FE:34:A4:33:5E,34
85,11/7/2018 2:06:20,18:FE:34:A4:33:5E,34
86,11/7/2018 3:03:12,18:FE:34:A4:33:5E,34
87,11/7/2018 4:00:08,18:FE:34:A4:33:5E,34
88,11/7/2018 4:57:02,18:FE:34:A4:33:5E,33
89,11/7/2018 5:53:44,18:FE:34:A4:33:5E,33
90,11/7/2018 6:50:38,18:FE:34:A4:33:5E,33
91,11/7/2018 7:48:05,18:FE:34:A4:33:5E,35
92,11/7/2018 8:47:02,18:FE:34:A4:33:5E,39
93,11/7/2018 9:45:19,18:FE:34:A4:33:5E,43
94,11/7/2018 10:42:01,18:FE:34:A4:33:5E,43
95,11/7/2018 11:38:41,18:FE:34:A4:33:5E,43
96,11/7/2018 12:35:29,18:FE:34:A4:33:5E,43
97,11/7/2018 13:32:06,18:FE:34:A4:33:5E,41
98,11/7/2018 14:28:53,18:FE:34:A4:33:5E,40
99,11/7/2018 15:25:43,18:FE:34:A4:33:5E,39
100,11/7/2018 16:22:33,18:FE:34:A4:33:5E,39
101,11/7/2018 17:19:13,18:FE:34:A4:33:5E,38
102,11/7/2018 18:15:52,18:FE:34:A4:33:5E,37
103,11/7/2018 19:12:39,18:FE:34:A4:33:5E,37
104,11/7/2018 20:09:22,18:FE:34:A4:33:5E,36
105,11/7/2018 21:06:10,18:FE:34:A4:33:5E,35
106,11/7/2018 22:02:51,18:FE:34:A4:33:5E,35
107,11/7/2018 22:59:41,18:FE:34:A4:33:5E,34
108,11/7/2018 23:56:39,18:FE:34:A4:33:5E,34
109,11/8/2018 0:53:33,18:FE:34:A4:33:5E,33
110,11/8/2018 1:50:21,18:FE:34:A4:33:5E,33
111,11/8/2018 2:47:12,18:FE:34:A4:33:5E,33
112,11/8/2018 3:44:08,18:FE:34:A4:33:5E,33
113,11/8/2018 4:41:03,18:FE:34:A4:33:5E,33
114,11/8/2018 5:38:01,18:FE:34:A4:33:5E,32
115,11/8/2018 6:34:43,18:FE:34:A4:33:5E,32
116,11/8/2018 7:31:49,18:FE:34:A4:33:5E,33
117,11/8/2018 8:30:42,18:FE:34:A4:33:5E,37
118,11/8/2018 9:29:42,18:FE:34:A4:33:5E,42
119,11/8/2018 10:27:01,18:FE:34:A4:33:5E,42
120,11/8/2018 11:23:30,18:FE:34:A4:33:5E,41
121,11/8/2018 12:20:34,18:FE:34:A4:33:5E,42
122,11/8/2018 13:17:15,18:FE:34:A4:33:5E,39
123,11/8/2018 14:14:03,18:FE:34:A4:33:5E,39
124,11/8/2018 15:10:53,18:FE:34:A4:33:5E,39
125,11/8/2018 16:07:51,18:FE:34:A4:33:5E,38
126,11/8/2018 17:05:10,18:FE:34:A4:33:5E,38
127,11/8/2018 18:01:44,18:FE:34:A4:33:5E,37
128,11/8/2018 18:58:29,18:FE:34:A4:33:5E,36
129,11/8/2018 19:55:25,18:FE:34:A4:33:5E,36
130,11/8/2018 20:52:16,18:FE:34:A4:33:5E,36
131,11/8/2018 21:49:16,18:FE:34:A4:33:5E,35
132,11/8/2018 22:45:55,18:FE:34:A4:33:5E,35
133,11/8/2018 23:42:41,18:FE:34:A4:33:5E,34
134,11/9/2018 0:39:38,18:FE:34:A4:33:5E,34
135,11/9/2018 1:36:25,18:FE:34:A4:33:5E,33
136,11/9/2018 2:33:19,18:FE:34:A4:33:5E,33
137,11/9/2018 3:30:09,18:FE:34:A4:33:5E,33
138,11/9/2018 4:26:55,18:FE:34:A4:33:5E,31
139,11/9/2018 5:23:47,18:FE:34:A4:33:5E,31
140,11/9/2018 6:20:42,18:FE:34:A4:33:5E,31
141,11/9/2018 7:21:58,18:FE:34:A4:33:5E,31
142,11/9/2018 8:18:49,18:FE:34:A4:33:5E,37
143,11/9/2018 9:15:37,18:FE:34:A4:33:5E,36
144,11/9/2018 10:14:16,18:FE:34:A4:33:5E,38
145,11/9/2018 11:11:33,18:FE:34:A4:33:5E,38
146,11/9/2018 12:07:44,18:FE:34:A4:33:5E,37
147,11/9/2018 13:04:40,18:FE:34:A4:33:5E,36
148,11/9/2018 14:01:33,18:FE:34:A4:33:5E,36
149,11/9/2018 14:58:26,18:FE:34:A4:33:5E,35
150,11/9/2018 15:55:12,18:FE:34:A4:33:5E,35
151,11/9/2018 16:51:56,18:FE:34:A4:33:5E,35
152,11/9/2018 17:48:47,18:FE:34:A4:33:5E,34
153,11/9/2018 18:45:37,18:FE:34:A4:33:5E,33
154,11/9/2018 19:42:25,18:FE:34:A4:33:5E,33
155,11/9/2018 20:39:21,18:FE:34:A4:33:5E,33
156,11/9/2018 21:36:13,18:FE:34:A4:33:5E,31
157,11/9/2018 22:32:59,18:FE:34:A4:33:5E,31
158,11/9/2018 23:29:58,18:FE:34:A4:33:5E,31
159,11/10/2018 0:26:54,18:FE:34:A4:33:5E,31
160,11/10/2018 1:23:50,18:FE:34:A4:33:5E,31
161,11/10/2018 2:20:48,18:FE:34:A4:33:5E,31
162,11/10/2018 3:17:45,18:FE:34:A4:33:5E,31
163,11/10/2018 4:14:26,18:FE:34:A4:33:5E,31
164,11/10/2018 5:11:32,18:FE:34:A4:33:5E,31
165,11/10/2018 6:08:32,18:FE:34:A4:33:5E,31
166,11/10/2018 7:05:32,18:FE:34:A4:33:5E,31
167,11/10/2018 8:02:35,18:FE:34:A4:33:5E,32
168,11/10/2018 8:59:47,18:FE:34:A4:33:5E,33
169,11/10/2018 9:57:08,18:FE:34:A4:33:5E,34
170,11/10/2018 10:54:15,18:FE:34:A4:33:5E,35
171,11/10/2018 11:51:27,18:FE:34:A4:33:5E,36
172,11/10/2018 12:48:46,18:FE:34:A4:33:5E,36
173,11/10/2018 13:45:37,18:FE:34:A4:33:5E,35
174,11/10/2018 14:42:29,18:FE:34:A4:33:5E,35
175,11/10/2018 15:39:34,18:FE:34:A4:33:5E,35
176,11/10/2018 16:36:29,18:FE:34:A4:33:5E,35
177,11/10/2018 17:33:13,18:FE:34:A4:33:5E,35
178,11/10/2018 18:29:54,18:FE:34:A4:33:5E,34
179,11/10/2018 19:26:52,18:FE:34:A4:33:5E,34
180,11/10/2018 20:23:45,18:FE:34:A4:33:5E,34
181,11/10/2018 21:20:31,18:FE:34:A4:33:5E,33
182,11/10/2018 22:17:35,18:FE:34:A4:33:5E,33
183,11/10/2018 23:14:29,18:FE:34:A4:33:5E,32
184,11/11/2018 0:11:14,18:FE:34:A4:33:5E,32
185,11/11/2018 1:08:08,18:FE:34:A4:33:5E,31
186,11/11/2018 2:05:01,18:FE:34:A4:33:5E,31
187,11/11/2018 3:01:48,18:FE:34:A4:33:5E,30
188,11/11/2018 3:58:39,18:FE:34:A4:33:5E,30
189,11/11/2018 4:55:52,18:FE:34:A4:33:5E,30
190,11/11/2018 5:52:43,18:FE:34:A4:33:5E,30
191,11/11/2018 6:49:44,18:FE:34:A4:33:5E,29
192,11/11/2018 7:47:17,18:FE:34:A4:33:5E,34
193,11/11/2018 8:45:50,18:FE:34:A4:33:5E,38
194,11/11/2018 9:43:47,18:FE:34:A4:33:5E,39
195,11/11/2018 10:40:51,18:FE:34:A4:33:5E,40
196,11/11/2018 11:37:42,18:FE:34:A4:33:5E,40
197,11/11/2018 12:34:10,18:FE:34:A4:33:5E,38
198,11/11/2018 13:31:09,18:FE:34:A4:33:5E,39
199,11/11/2018 14:28:01,18:FE:34:A4:33:5E,38
200,11/11/2018 15:24:52,18:FE:34:A4:33:5E,37
201,11/11/2018 16:21:42,18:FE:34:A4:33:5E,37
202,11/11/2018 17:18:25,18:FE:34:A4:33:5E,36
203,11/11/2018 18:15:01,18:FE:34:A4:33:5E,35
204,11/11/2018 19:11:48,18:FE:34:A4:33:5E,35
205,11/11/2018 20:08:41,18:FE:34:A4:33:5E,34
206,11/11/2018 21:05:27,18:FE:34:A4:33:5E,33
207,11/11/2018 22:02:29,18:FE:34:A4:33:5E,33
208,11/11/2018 22:58:54,18:FE:34:A4:33:5E,32
209,11/11/2018 23:55:49,18:FE:34:A4:33:5E,32
210,11/12/2018 0:52:42,18:FE:34:A4:33:5E,31
211,11/12/2018 1:49:31,18:FE:34:A4:33:5E,31
212,11/12/2018 2:46:18,18:FE:34:A4:33:5E,30
213,11/12/2018 3:43:14,18:FE:34:A4:33:5E,30
214,11/12/2018 4:39:57,18:FE:34:A4:33:5E,29
215,11/12/2018 5:36:48,18:FE:34:A4:33:5E,29
216,11/12/2018 6:33:21,18:FE:34:A4:33:5E,28
217,11/12/2018 7:30:32,18:FE:34:A4:33:5E,29
218,11/12/2018 8:29:39,18:FE:34:A4:33:5E,34
219,11/12/2018 9:28:13,18:FE:34:A4:33:5E,36
220,11/12/2018 10:25:20,18:FE:34:A4:33:5E,36
221,11/12/2018 11:21:59,18:FE:34:A4:33:5E,36
222,11/12/2018 12:18:16,18:FE:34:A4:33:5E,34
223,11/12/2018 13:14:36,18:FE:34:A4:33:5E,32
224,11/12/2018 14:11:22,18:FE:34:A4:33:5E,31
225,11/12/2018 15:08:03,18:FE:34:A4:33:5E,30
226,11/12/2018 16:04:47,18:FE:34:A4:33:5E,31
227,11/12/2018 17:01:22,18:FE:34:A4:33:5E,29
228,11/12/2018 17:58:15,18:FE:34:A4:33:5E,30
229,11/12/2018 18:54:52,18:FE:34:A4:33:5E,29
230,11/12/2018 19:51:42,18:FE:34:A4:33:5E,28
231,11/12/2018 20:48:31,18:FE:34:A4:33:5E,28
232,11/12/2018 21:45:20,18:FE:34:A4:33:5E,28
233,11/12/2018 22:41:58,18:FE:34:A4:33:5E,27
234,11/12/2018 23:39:30,18:FE:34:A4:33:5E,27
235,11/13/2018 0:36:13,18:FE:34:A4:33:5E,27
236,11/13/2018 1:34:14,18:FE:34:A4:33:5E,27
237,11/13/2018 2:32:05,18:FE:34:A4:33:5E,27
238,11/13/2018 3:29:50,18:FE:34:A4:33:5E,27
239,11/13/2018 4:27:19,18:FE:34:A4:33:5E,28
240,11/13/2018 5:24:19,18:FE:34:A4:33:5E,28
241,11/13/2018 6:19:35,18:FE:34:A4:33:5E,31
242,11/13/2018 7:13:03,18:FE:34:A4:33:5E,26
243,11/13/2018 8:11:36,18:FE:34:A4:33:5E,30
244,11/13/2018 9:09:36,18:FE:34:A4:33:5E,33
245,11/13/2018 10:07:01,18:FE:34:A4:33:5E,33
246,11/13/2018 11:04:31,18:FE:34:A4:33:5E,34
247,11/13/2018 12:00:58,18:FE:34:A4:33:5E,33
248,11/13/2018 12:58:02,18:FE:34:A4:33:5E,33
249,11/13/2018 13:54:58,18:FE:34:A4:33:5E,33
250,11/13/2018 14:51:42,18:FE:34:A4:33:5E,32
251,11/13/2018 15:48:37,18:FE:34:A4:33:5E,31
252,11/13/2018 16:45:26,18:FE:34:A4:33:5E,30
253,11/13/2018 17:42:13,18:FE:34:A4:33:5E,30
254,11/13/2018 18:38:41,18:FE:34:A4:33:5E,29
255,11/13/2018 19:35:17,18:FE:34:A4:33:5E,29
256,11/13/2018 20:32:10,18:FE:34:A4:33:5E,28
257,11/13/2018 21:29:46,18:FE:34:A4:33:5E,28
258,11/13/2018 22:26:18,18:FE:34:A4:33:5E,28
259,11/13/2018 23:22:56,18:FE:34:A4:33:5E,27
260,11/14/2018 0:19:36,18:FE:34:A4:33:5E,27
261,11/14/2018 1:16:22,18:FE:34:A4:33:5E,27
262,11/14/2018 2:14:19,18:FE:34:A4:33:5E,27
263,11/14/2018 3:11:13,18:FE:34:A4:33:5E,35
264,11/14/2018 4:04:32,18:FE:34:A4:33:5E,26
265,11/14/2018 5:02:23,18:FE:34:A4:33:5E,26
266,11/14/2018 5:59:39,18:FE:34:A4:33:5E,29
267,11/14/2018 6:52:55,18:FE:34:A4:33:5E,27
268,11/14/2018 7:50:17,18:FE:34:A4:33:5E,29
269,11/14/2018 8:48:07,18:FE:34:A4:33:5E,33
270,11/14/2018 9:45:50,18:FE:34:A4:33:5E,35
271,11/14/2018 10:42:40,18:FE:34:A4:33:5E,36
272,11/14/2018 11:39:39,18:FE:34:A4:33:5E,36
273,11/14/2018 12:36:43,18:FE:34:A4:33:5E,35
274,11/14/2018 13:34:03,18:FE:34:A4:33:5E,35
275,11/14/2018 14:31:22,18:FE:34:A4:33:5E,34
276,11/14/2018 15:28:17,18:FE:34:A4:33:5E,34
277,11/14/2018 16:25:12,18:FE:34:A4:33:5E,34
278,11/14/2018 17:22:00,18:FE:34:A4:33:5E,33
279,11/14/2018 18:18:35,18:FE:34:A4:33:5E,31
280,11/14/2018 19:15:36,18:FE:34:A4:33:5E,37
281,11/14/2018 20:12:19,18:FE:34:A4:33:5E,31
282,11/14/2018 21:08:55,18:FE:34:A4:33:5E,52
283,11/14/2018 22:05:40,18:FE:34:A4:33:5E,30
284,11/14/2018 23:02:22,18:FE:34:A4:33:5E,35
285,11/14/2018 23:56:44,18:FE:34:A4:33:5E,29
286,11/15/2018 0:54:13,18:FE:34:A4:33:5E,30
287,11/15/2018 1:50:09,18:FE:34:A4:33:5E,29
288,11/15/2018 2:47:52,18:FE:34:A4:33:5E,29
289,11/15/2018 3:45:11,18:FE:34:A4:33:5E,30
290,11/15/2018 4:40:16,18:FE:34:A4:33:5E,28
291,11/15/2018 5:38:08,18:FE:34:A4:33:5E,29
292,11/15/2018 6:35:35,18:FE:34:A4:33:5E,29
293,11/15/2018 7:32:21,18:FE:34:A4:33:5E,29
294,11/15/2018 8:31:24,18:FE:34:A4:33:5E,34
295,11/15/2018 9:29:37,18:FE:34:A4:33:5E,37
296,11/15/2018 10:26:30,18:FE:34:A4:33:5E,37
297,11/15/2018 11:23:29,18:FE:34:A4:33:5E,37
298,11/15/2018 12:20:37,18:FE:34:A4:33:5E,37
299,11/15/2018 13:17:28,18:FE:34:A4:33:5E,37
300,11/15/2018 14:14:20,18:FE:34:A4:33:5E,36
301,11/15/2018 15:11:17,18:FE:34:A4:33:5E,35
302,11/15/2018 16:08:08,18:FE:34:A4:33:5E,35
303,11/15/2018 17:05:06,18:FE:34:A4:33:5E,35
304,11/15/2018 18:01:34,18:FE:34:A4:33:5E,34
305,11/15/2018 18:58:14,18:FE:34:A4:33:5E,33
306,11/15/2018 19:55:01,18:FE:34:A4:33:5E,32
307,11/15/2018 20:51:50,18:FE:34:A4:33:5E,31
308,11/15/2018 21:48:08,18:FE:34:A4:33:5E,30
309,11/15/2018 22:44:49,18:FE:34:A4:33:5E,29
310,11/15/2018 23:42:27,18:FE:34:A4:33:5E,30
311,11/16/2018 0:39:10,18:FE:34:A4:33:5E,29
312,11/16/2018 1:37:01,18:FE:34:A4:33:5E,29
313,11/16/2018 2:34:48,18:FE:34:A4:33:5E,29
314,11/16/2018 3:31:45,18:FE:34:A4:33:5E,35
315,11/16/2018 4:24:48,18:FE:34:A4:33:5E,28
316,11/16/2018 5:22:41,18:FE:34:A4:33:5E,28
